speaker,year,gender,cons,inn,total
avm1922,1922,f,79,8,87
mik1922,1922,f,81,6,87
ans1925,1925,f,161,21,182
avt1928,1928,f,31,5,36
egp1928,1928,f,73,8,81
lpp1928,1928,f,10,1,11
pfp1928,1928,f,131,2,133
anp1929,1929,m,5,4,9
sek1930,1930,m,53,33,86
mdn1933,1933,f,58,8,66
opsh1935,1935,f,100,14,114
zvk1941,1941,f,1,1,2
lso1941,1941,f,166,51,217
lgp1947,1947,f,24,60,84
mgb1949,1949,f,72,23,95
gvp1949,1949,f,22,11,33
eve1950,1950,f,21,17,38
iip1951,1951,m,54,26,80
nvt1952,1952,m,42,8,50
njae1952,1952,m,19,10,29
ofsh1952,1952,f,54,15,69
ffp1952,1952,m,4,21,25
ait1954,1954,f,36,25,61
npo1954,1954,m,17,23,40
ppp1955,1955,m,33,23,56
ipm1956,1956,m,30,16,46
ndo1958,1958,f,48,14,62
nnt1960,1960,f,5,25,30
nfm1961,1961,f,11,106,117
vap1963,1963,f,4,51,55
npo1965,1965,m,53,119,172
vkch1966,1966,m,52,15,67
ent1968,1968,f,1,46,47
juap1969,1969,m,0,10,10
nap1974,1974,f,10,35,45
svp1975,1975,m,5,74,79
vsp1996,1996,f,1,10,11
